Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,$46.00 ,403,"1,854","$1,038 ",Outlet
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,400,"8,000","$2,800 ",In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,400,"8,000","$3,200 ",In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$20.00 ,400,"8,000","$2,800 ",In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$20.00 ,400,"8,000","$2,800 ",In-store
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,400,"8,000","$3,200 ",Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,400,"6,000","$2,400 ",Online
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,$47.00 ,400,"1,880",$978 ,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,$40.00 ,390,"1,560",$811 ,Outlet
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,$33.00 ,388,"1,280",$666 ,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,$34.00 ,384,"1,306",$679 ,Outlet
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$31.00 ,376,"1,166",$559 ,Outlet
Sports Direct,1197831,8/22/2021,South,Alabama,Birmingham,Women's Athletic Footwear,$20.00 ,375,"7,500","$4,125 ",Outlet
Foot Locker,1185732,2/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,$20.00 ,375,"7,500","$2,625 ",In-store
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,375,"7,500","$3,000 ",In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,375,"7,500","$3,000 ",In-store
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,375,"5,625","$2,250 ",Online
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$15.00 ,375,"5,625","$1,969 ",Online
West Gear,1197831,1/23/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,375,"5,625","$2,250 ",Online
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,$41.00 ,375,"1,538",$800 ,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,$29.00 ,374,"1,085",$445 ,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,$29.00 ,374,"1,085",$445 ,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,$33.00 ,372,"1,228",$663 ,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,$44.00 ,366,"1,610",$837 ,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,$56.00 ,360,"2,016","$1,250 ",Online
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,$37.00 ,359,"1,328",$452 ,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,$48.00 ,355,"1,704",$511 ,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,$46.00 ,354,"1,628","$1,026 ",Online
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,$47.00 ,352,"1,654",$447 ,Outlet
Foot Locker,1185732,3/17/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$25.00 ,350,"8,750","$3,063 ",In-store
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,350,"8,750","$3,500 ",In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$25.00 ,350,"8,750","$3,063 ",In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$25.00 ,350,"8,750","$3,063 ",In-store
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,$25.00 ,350,"8,750","$3,063 ",In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,$10.00 ,350,"3,500","$1,225 ",In-store
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,$25.00 ,350,"8,750","$3,500 ",Online
Walmart,1185732,10/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$25.00 ,350,"8,750","$3,500 ",Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Men's Athletic Footwear,$25.00 ,350,"8,750","$3,063 ",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,$10.00 ,350,"3,500","$1,400 ",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Apparel,$25.00 ,350,"8,750","$3,500 ",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,350,"5,250","$2,100 ",Online
West Gear,1197831,2/21/2021,South,Oklahoma,Oklahoma City,Women's Apparel,$20.00 ,350,"7,000","$2,800 ",Online
West Gear,1197831,10/21/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$20.00 ,350,"7,000","$2,450 ",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$25.00 ,350,"8,750","$3,063 ",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,$15.00 ,350,"5,250","$1,838 ",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Apparel,$25.00 ,350,"8,750","$3,063 ",Online
West Gear,1185732,2/17/2021,Northeast,West Virginia,Charleston,Women's Apparel,$25.00 ,350,"8,750","$3,500 ",In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,$32.00 ,350,"1,120",$414 ,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,$36.00 ,350,"1,260",$365 ,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,$43.00 ,350,"1,505",$497 ,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,$45.00 ,350,"1,575",$473 ,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,$38.00 ,350,"1,330",$758 ,Outlet
Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$26.00 ,349,907,$426 ,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,$46.00 ,347,"1,596",$511 ,Outlet
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,345,"6,900","$2,415 ",In-store
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,$41.00 ,341,"1,398",$601 ,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,$41.00 ,340,"1,394",$474 ,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,$48.00 ,340,"1,632",$490 ,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,$41.00 ,338,"1,386",$527 ,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,$47.00 ,336,"1,579",$963 ,Online
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,$39.00 ,333,"1,299",$351 ,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,$42.00 ,333,"1,399",$559 ,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,$32.00 ,333,"1,066",$426 ,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,$34.00 ,333,"1,132",$476 ,Outlet
West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,$46.00 ,332,"1,527",$321 ,Outlet
Sports Direct,1197831,9/24/2021,South,Texas,Dallas,Women's Street Footwear,$35.00 ,332,"1,162",$546 ,Outlet
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,$38.00 ,330,"1,254",$401 ,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,330,"1,650",$462 ,Outlet
Foot Locker,1185732,8/6/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,$62.00 ,326,"2,021","$1,152 ",Online
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,325,"8,125","$3,250 ",In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,325,"8,125","$3,250 ",In-store
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$20.00 ,325,"6,500","$2,600 ",In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$25.00 ,325,"8,125","$2,844 ",In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$15.00 ,325,"4,875","$1,706 ",In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$10.00 ,325,"3,250","$1,300 ",In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Men's Apparel,$20.00 ,325,"6,500","$2,275 ",In-store
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,$25.00 ,325,"8,125","$3,250 ",Online
Foot Locker,1185732,2/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$25.00 ,325,"8,125","$3,250 ",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$20.00 ,325,"6,500","$2,275 ",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Athletic Footwear,$15.00 ,325,"4,875","$1,950 ",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Men's Apparel,$25.00 ,325,"8,125","$2,844 ",Online
West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,325,"4,875","$1,950 ",Online
Kohl's,1197831,2/14/2021,Midwest,Kansas,Wichita,Women's Apparel,$20.00 ,325,"6,500","$2,275 ",Online
Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,$20.00 ,325,"6,500","$2,275 ",Online
West Gear,1185732,3/16/2021,Northeast,West Virginia,Charleston,Women's Street Footwear,$20.00 ,325,"6,500","$2,600 ",In-store
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,$58.00 ,325,"1,885","$1,150 ",Online
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,$40.00 ,324,"1,296",$518 ,Outlet
Sports Direct,1185732,5/24/2020,Southeast,Florida,Miami,Men's Street Footwear,$63.00 ,323,"2,035","$1,140 ",Online
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,$32.00 ,323,"1,034",$393 ,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,$36.00 ,323,"1,163",$314 ,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,$33.00 ,323,"1,066",$448 ,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,$53.00 ,322,"1,707",$478 ,Outlet
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,$40.00 ,322,"1,288",$425 ,Outlet
Sports Direct,1197831,9/18/2021,South,Texas,Dallas,Women's Street Footwear,$33.00 ,322,"1,063",$446 ,Outlet
Sports Direct,1197831,4/17/2021,South,Tennessee,Knoxville,Women's Street Footwear,$30.00 ,322,966,$483 ,Outlet
Sports Direct,1197831,9/8/2021,South,Alabama,Birmingham,Women's Street Footwear,$31.00 ,322,998,$559 ,Outlet
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,$25.00 ,320,"8,000","$3,200 ",Online
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,$36.00 ,320,"1,152",$403 ,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,$44.00 ,320,"1,408",$408 ,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,$59.00 ,319,"1,882","$1,129 ",Online
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,$37.00 ,319,"1,180",$531 ,Online
Foot Locker,1185732,8/12/2020,Southeast,Florida,Miami,Men's Street Footwear,$43.00 ,319,"1,372",$782 ,Online
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,$41.00 ,318,"1,304",$482 ,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,$54.00 ,317,"1,712","$1,096 ",Online
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,$39.00 ,315,"1,229",$405 ,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,$35.00 ,315,"1,103",$397 ,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,$35.00 ,315,"1,103",$364 ,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,$28.00 ,315,882,$335 ,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,$36.00 ,315,"1,134",$442 ,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,$44.00 ,315,"1,386",$513 ,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,$24.00 ,315,756,$295 ,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,$36.00 ,315,"1,134",$431 ,Outlet
Kohl's,1189833,5/25/2021,West,California,Los Angeles,Men's Street Footwear,$39.00 ,315,"1,229",$565 ,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,$27.00 ,314,848,$348 ,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,$37.00 ,314,"1,162",$430 ,Outlet
Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,Women's Street Footwear,$39.00 ,314,"1,225",$576 ,Outlet
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,$46.00 ,313,"1,440",$893 ,Online
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,$55.00 ,313,"1,722","$1,050 ",Online
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,$62.00 ,312,"1,934","$1,238 ",Online
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$38.00 ,312,"1,186",$700 ,Online
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,$40.00 ,312,"1,248",$449 ,Outlet
Foot Locker,1185732,7/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,$63.00 ,311,"1,959","$1,156 ",Online
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,$43.00 ,310,"1,333",$467 ,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,$53.00 ,308,"1,632",$669 ,Online
Sports Direct,1185732,8/3/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,$61.00 ,308,"1,879",$996 ,Online
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,$43.00 ,306,"1,316",$487 ,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,$43.00 ,306,"1,316",$461 ,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$34.00 ,306,"1,040",$406 ,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,$41.00 ,306,"1,255",$502 ,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,$20.00 ,306,612,$257 ,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,$23.00 ,306,704,$260 ,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,$29.00 ,306,887,$364 ,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,$31.00 ,306,949,$379 ,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,$41.00 ,306,"1,255",$690 ,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,$60.00 ,306,"1,836",$477 ,Outlet
West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,$46.00 ,306,"1,408",$282 ,Outlet
Kohl's,1189833,5/1/2021,West,California,Los Angeles,Men's Street Footwear,$36.00 ,306,"1,102",$496 ,Outlet
Sports Direct,1197831,4/14/2021,South,Tennessee,Knoxville,Women's Apparel,$37.00 ,306,"1,132",$668 ,Outlet
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,$62.00 ,306,"1,897",$816 ,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,$64.00 ,305,"1,952",$761 ,Online
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,$27.00 ,305,824,$305 ,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,$33.00 ,305,"1,007",$382 ,Outlet
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Women's Street Footwear,$39.00 ,305,"1,190",$511 ,Outlet
West Gear,1185732,9/17/2020,Southeast,Florida,Miami,Men's Street Footwear,$60.00 ,304,"1,824","$1,040 ",Online
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,$36.00 ,302,"1,087",$565 ,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,$45.00 ,302,"1,359",$544 ,Outlet
Sports Direct,1197831,4/1/2021,South,Tennessee,Knoxville,Men's Apparel,$30.00 ,300,"9,000","$3,150 ",Outlet
Sports Direct,1197831,9/28/2021,South,Alabama,Birmingham,Men's Apparel,$30.00 ,300,"9,000","$4,050 ",Outlet
Foot Locker,1185732,5/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$30.00 ,300,"9,000","$3,150 ",In-store
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00 ,300,"4,500","$1,575 ",In-store
West Gear,1185732,2/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,300,"6,000","$2,400 ",In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,300,"6,000","$2,100 ",In-store
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Street Footwear,$30.00 ,300,"9,000","$3,600 ",Online
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,300,"6,000","$2,400 ",Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,300,"6,000","$2,400 ",Online
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$25.00 ,300,"7,500","$2,625 ",Online
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,300,"4,500","$1,800 ",Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,$20.00 ,300,"6,000","$2,400 ",Online
Kohl's,1197831,11/20/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$15.00 ,300,"4,500","$1,575 ",Online
Kohl's,1197831,2/14/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,$15.00 ,300,"4,500","$1,575 ",Online
Kohl's,1197831,4/13/2021,Midwest,Kansas,Wichita,Women's Apparel,$30.00 ,300,"9,000","$3,150 ",Online
Foot Locker,1197831,10/14/2021,Midwest,Kansas,Wichita,Women's Apparel,$30.00 ,300,"9,000","$3,150 ",Online
West Gear,1185732,6/3/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$30.00 ,300,"9,000","$3,150 ",In-store
West Gear,1185732,1/10/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$25.00 ,300,"7,500","$2,625 ",In-store
West Gear,1185732,2/10/2021,Midwest,Indiana,Indianapolis,Women's Apparel,$20.00 ,300,"6,000","$2,400 ",In-store
West Gear,1185732,1/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,$25.00 ,300,"7,500","$3,000 ",In-store
West Gear,1185732,2/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,$30.00 ,300,"9,000","$3,600 ",In-store
Sports Direct,1185732,1/7/2021,Northeast,New Jersey,Newark,Women's Street Footwear,$30.00 ,300,"9,000","$2,700 ",In-store
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,$45.00 ,300,"1,350",$837 ,Online
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,$51.00 ,300,"1,530",$643 ,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,$52.00 ,300,"1,560",$874 ,Online
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,299,"1,794","$1,076 ",Online
West Gear,1185732,9/11/2020,Southeast,Florida,Miami,Men's Street Footwear,$60.00 ,299,"1,794","$1,076 ",Online
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,$42.00 ,298,"1,252",$713 ,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,$38.00 ,298,"1,132",$430 ,Outlet
West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Street Footwear,$60.00 ,298,"1,788",$751 ,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,$39.00 ,297,"1,158",$533 ,Online
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,$38.00 ,297,"1,129",$429 ,Outlet
Kohl's,1189833,4/19/2021,West,California,Los Angeles,Men's Street Footwear,$36.00 ,297,"1,069",$470 ,Outlet
Walmart,1128299,7/16/2021,Southeast,Florida,Orlando,Men's Street Footwear,$68.00 ,297,"2,020",$747 ,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,$37.00 ,296,"1,095",$383 ,Outlet
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,$37.00 ,296,"1,095",$449 ,Outlet
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$25.00 ,295,"7,375","$2,581 ",In-store
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,$35.00 ,295,"1,033",$434 ,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,$32.00 ,295,944,$538 ,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,$28.00 ,295,826,$339 ,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,$29.00 ,295,856,$342 ,Outlet
Sports Direct,1185732,7/2/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,$60.00 ,294,"1,764",$882 ,Online
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,$43.00 ,294,"1,264",$531 ,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,$47.00 ,293,"1,377",$868 ,Online
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,$51.00 ,293,"1,494",$598 ,Online
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,$48.00 ,290,"1,392",$529 ,Online
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,$59.00 ,290,"1,711",$616 ,Online
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,$62.00 ,290,"1,798",$665 ,Online
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,$68.00 ,290,"1,972",$749 ,Online
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,$68.00 ,290,"1,972",$690 ,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,$55.00 ,290,"1,595",$941 ,Online
Foot Locker,1185732,12/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,$67.00 ,290,"1,943","$1,166 ",Online
